SEM_EXM_EXCH_ID, SEM_SEGMENT,SEM_SMST_SECURITY_ID,SEM_INSTRUMENT_NAME,SEM_EXPIRY_CODE,SEM_TRADING_SYMBOL,SEM_LOT_UNITS,SEM_CUSTOM_SYMBOL,SEM_EXPIRY_DATE,SEM_STRIKE_PRICE,SEM_OPTION_TYPE,SEM_TICK_SIZE,SEM_EXPIRY_FLAG,SEM_EXCH_INSTRUMENT_TYPE,SEM_SERIES,SM_SYMBOL_NAME,TICKER,EXPIRY
NSE,D,100078,OPTSTK,0,DLF-Aug2024-580-PE,825.0,DLF 29 AUG 580 PUT,2024-08-29 14:30:00,580.0,PE,5.0,M,OP,,,DLF,Aug2024
NSE,D,100079,OPTSTK,0,DLF-Aug2024-600-CE,825.0,DLF 29 AUG 600 CALL,2024-08-29 14:30:00,600.0,CE,5.0,M,OP,,,DLF,Aug2024
NSE,D,100080,OPTSTK,0,DLF-Aug2024-600-PE,825.0,DLF 29 AUG 600 PUT,2024-08-29 14:30:00,600.0,PE,5.0,M,OP,,,DLF,Aug2024
NSE,D,100081,OPTSTK,0,DLF-Aug2024-620-CE,825.0,DLF 29 AUG 620 CALL,2024-08-29 14:30:00,620.0,CE,5.0,M,OP,,,DLF,Aug2024
NSE,D,100082,OPTSTK,0,DLF-Aug2024-620-PE,825.0,DLF 29 AUG 620 PUT,2024-08-29 14:30:00,620.0,PE,5.0,M,OP,,,DLF,Aug2024
NSE,D,100083,OPTSTK,0,DLF-Aug2024-640-CE,825.0,DLF 29 AUG 640 CALL,2024-08-29 14:30:00,640.0,CE,5.0,M,OP,,,DLF,Aug2024
NSE,D,100084,OPTSTK,0,DLF-Aug2024-640-PE,825.0,DLF 29 AUG 640 PUT,2024-08-29 14:30:00,640.0,PE,5.0,M,OP,,,DLF,Aug2024
NSE,D,100085,OPTSTK,0,DLF-Aug2024-660-CE,825.0,DLF 29 AUG 660 CALL,2024-08-29 14:30:00,660.0,CE,5.0,M,OP,,,DLF,Aug2024
NSE,D,100088,OPTSTK,0,DLF-Aug2024-660-PE,825.0,DLF 29 AUG 660 PUT,2024-08-29 14:30:00,660.0,PE,5.0,M,OP,,,DLF,Aug2024
NSE,D,100089,OPTSTK,0,DLF-Aug2024-680-CE,825.0,DLF 29 AUG 680 CALL,2024-08-29 14:30:00,680.0,CE,5.0,M,OP,,,DLF,Aug2024
NSE,D,100090,OPTSTK,0,DLF-Aug2024-680-PE,825.0,DLF 29 AUG 680 PUT,2024-08-29 14:30:00,680.0,PE,5.0,M,OP,,,DLF,Aug2024
NSE,D,100091,OPTSTK,0,DLF-Aug2024-700-CE,825.0,DLF 29 AUG 700 CALL,2024-08-29 14:30:00,700.0,CE,5.0,M,OP,,,DLF,Aug2024
